algorithmName,terrainType,randomSeed,boardSize,numObjects,collectedDamon,returnedHome,objectsCollected,stepsTaken,runtime,estimationNoise,startingBattery,usedBattery,,,,,,,,,,,,,,,,
Genetic,Pure Random,1.27E+18,64,5,true,true,5,351,89038646600,0.2,204.8,73.11698872,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,1.27E+18,64,5,true,true,5,339,591500,0.2,204.8,69.13821035,,,,,,,,,,,,,,,,
Ants,Pure Random,1.27E+18,64,5,true,true,5,607,1.31E+11,0.2,204.8,112.5473631,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,-1.99E+17,64,5,true,true,5,447,1.41E+11,0.2,102.4,86.52070985,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,-1.99E+17,64,5,true,true,1,59,181400,0.2,102.4,11.66773863,,,,,,,,,,,,,,,,
Ants,Pure Random,-1.99E+17,64,5,true,false,1,592,1.11E+11,0.2,102.4,102.3604892,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,-4.32E+18,64,5,true,true,4,243,47575137600,0.2,51.2,49.42957719,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,-4.32E+18,64,5,true,false,0,311,684500,0.2,51.2,50.97087976,,,,,,,,,,,,,,,,
Ants,Pure Random,-4.32E+18,64,5,true,false,2,278,50248152400,0.2,51.2,50.91825879,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,-2.45E+18,64,5,true,true,1,113,21119118900,0.2,25.6,25.30789306,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,-2.45E+18,64,5,false,false,0,219,478000,0.2,25.6,25.55949696,,,,,,,,,,,,,,,,
Ants,Pure Random,-2.45E+18,64,5,true,false,0,136,23924644700,0.2,25.6,25.55391934,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,-4.63E+18,64,5,true,true,5,317,85782954400,0.3,409.6,74.06190501,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,-4.63E+18,64,5,true,true,4,297,889100,0.3,409.6,62.2957529,,,,,,,,,,,,,,,,
Ants,Pure Random,-4.63E+18,64,5,true,false,3,561,1.41E+11,0.3,409.6,114.2887628,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,-6.18E+18,64,5,true,true,5,377,71091054000,0.3,204.8,82.11319885,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,-6.18E+18,64,5,true,true,3,879,1285400,0.3,204.8,185.6790409,,,,,,,,,,,,,,,,
Ants,Pure Random,-6.18E+18,64,5,true,true,5,843,1.32E+11,0.3,204.8,169.8693235,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
