"algorithmName","terrainType","randomSeed","boardSize","numObjects","collectedDamon","returnedHome","objectsCollected","stepsTaken","runtime","estimationNoise","startingBattery","usedBattery"
"Greedy","Pure Random",8162177097910328700,48,5,false,false,0,147,139900,0.1,14.4,14.376745339072691
"Ants","Pure Random",8162177097910328700,48,5,true,false,1,97,12111624900,0.1,14.4,14.296752375390668,"evaporationFactor",0.5,"ants",50.0,"roverSteps",20,"alpha",1.0,"beta",3.0,"iterations",100
"Genetic","Pure Random",-5430501255654439720,48,5,true,true,5,313,49595887300,0.2,230.4,62.31049710563374,"eliteProp",0.1,"mutateProb",0.05,"generations",50,"populationSize",100,"planLength",15,"selectionProp",0.25,"marginProp",1.5,"mutationProp",0.25
"Greedy","Pure Random",-5430501255654439720,48,5,true,true,5,313,336600,0.2,230.4,60.149290542847496
"Ants","Pure Random",-5430501255654439720,48,5,true,true,5,1101,133113515200,0.2,230.4,199.85693040046962,"evaporationFactor",0.5,"ants",50.0,"roverSteps",20,"alpha",1.0,"beta",3.0,"iterations",100
"Genetic","Pure Random",63458436393104815,48,5,true,true,5,243,24981725800,0.2,115.2,49.646542163569436,"eliteProp",0.1,"mutateProb",0.05,"generations",50,"populationSize",100,"planLength",15,"selectionProp",0.25,"marginProp",1.5,"mutationProp",0.25
"Greedy","Pure Random",63458436393104815,48,5,true,true,5,265,259100,0.2,115.2,51.93722777881384
"Ants","Pure Random",63458436393104815,48,5,true,false,3,627,64793330200,0.2,115.2,115.1520360231194,"evaporationFactor",0.5,"ants",50.0,"roverSteps",20,"alpha",1.0,"beta",3.0,"iterations",100
"Genetic","Pure Random",-1931368811975637825,48,5,true,true,5,229,36145768800,0.2,57.6,49.3297335510848,"eliteProp",0.1,"mutateProb",0.05,"generations",50,"populationSize",100,"planLength",15,"selectionProp",0.25,"marginProp",1.5,"mutationProp",0.25
"Greedy","Pure Random",-1931368811975637825,48,5,true,true,2,201,201800,0.2,57.6,39.11287199062559
"Ants","Pure Random",-1931368811975637825,48,5,true,false,1,322,37828112900,0.2,57.6,57.50683947396557,"evaporationFactor",0.5,"ants",50.0,"roverSteps",20,"alpha",1.0,"beta",3.0,"iterations",100
"Genetic","Pure Random",2232382844828896899,48,5,true,true,2,141,22938340100,0.2,28.8,27.59782974503007,"eliteProp",0.1,"mutateProb",0.05,"generations",50,"populationSize",100,"planLength",15,"selectionProp",0.25,"marginProp",1.5,"mutationProp",0.25
"Greedy","Pure Random",2232382844828896899,48,5,false,true,0,227,629700,0.2,28.8,28.766604087121756
"Ants","Pure Random",2232382844828896899,48,5,true,false,3,149,21611214900,0.2,28.8,28.6870746115832,"evaporationFactor",0.5,"ants",50.0,"roverSteps",20,"alpha",1.0,"beta",3.0,"iterations",100
"Genetic","Pure Random",-3564615156770861460,48,5,false,true,0,59,9387517800,0.2,14.4,12.692279466055208,"eliteProp",0.1,"mutateProb",0.05,"generations",50,"populationSize",100,"planLength",15,"selectionProp",0.25,"marginProp",1.5,"mutationProp",0.25
"Greedy","Pure Random",-3564615156770861460,48,5,false,false,0,74,74300,0.2,14.4,14.355885308149562
"Ants","Pure Random",-3564615156770861460,48,5,true,false,0,79,6685318400,0.2,14.4,14.319960415635798,"evaporationFactor",0.5,"ants",50.0,"roverSteps",20,"alpha",1.0,"beta",3.0,"iterations",100
"Genetic","Pure Random",-9126126279660721027,48,5,true,true,5,281,26537779900,0.3,230.4,59.68275612466965,"eliteProp",0.1,"mutateProb",0.05,"generations",50,"populationSize",100,"planLength",15,"selectionProp",0.25,"marginProp",1.5,"mutationProp",0.25
"Greedy","Pure Random",-9126126279660721027,48,5,true,true,5,347,353100,0.3,230.4,62.50313760326017
"Ants","Pure Random",-9126126279660721027,48,5,true,true,5,913,108765665200,0.3,230.4,178.49862337791956,"evaporationFactor",0.5,"ants",50.0,"roverSteps",20,"alpha",1.0,"beta",3.0,"iterations",100
"Genetic","Pure Random",-8890897103342887007,48,5,true,true,5,249,27329904700,0.3,115.2,57.48563159508711,"eliteProp",0.1,"mutateProb",0.05,"generations",50,"populationSize",100,"planLength",15,"selectionProp",0.25,"marginProp",1.5,"mutationProp",0.25
